name,address_1,address_2,address_3,address_4,city,county,post_code,country,website,constitution,Sector,Type 
Adjutant-General's Corps Museum,"RHQ, Adjutant-General's Corps",Gould House,Worthy Down,,Winchester,Hampshire,SO21 2RG,England,,Central Government Funded,Museum,Central Government
Amgueddfa Cymru - National Museum Wales,Gardens House,Museum of Welsh Life,St Fagans,,Cardiff,,CF15 8HB,Wales,www.museumwales.ac.uk,Central Government Funded,Museum,Central Government
Army Medical Services Museum,Keogh Barracks,Ash Vale,,,Aldershot,,GU12 5RQ,,www.ams-museum.org.uk,Central Government Funded,Museum,Central Government
Army Physical Training Corps Museum,Army School of Physical Training,Fox Lines,Queens Avenue,,Aldershot,Hampshire,GU11 2LB,England,www.army.mod.uk/aptc/6427.aspx,Central Government Funded,Museum,Central Government
Big Pit National Coal Museum,Big Pit,,,,Blaenafon,,NP4 9XP,Wales,www.museumwales.ac.uk/,Central Government Funded,Museum,Central Government
Border Regiment and King's Own Royal Border Regiment Museum,,,,,,,,,,Central Government Funded,Museum,Central Government
British Museum,Great Russell Street,,,,Camden,Greater London,WC1B 3DG,England,www.britishmuseum.ac.uk,Central Government Funded,Museum,Central Government
Cheshire Military Museum,Oulton Park House,Little Budworth,,,Tarporley,Cheshire,,England,,Central Government Funded,Museum,Central Government
Churchill Museum & Cabinet War Rooms,Clive Steps,King Charles Street,Westminster,,London,,SW1A 2AQ,England,,Central Government Funded,Museum,Central Government
Duke of Cornwall's Light Infantry Museum,The Keep,,,,Bodmin,Cornwall,PL31 1EG,England,http://www.lightinfantry.org.uk/regiments/DCLI/duke_museum.htm,Central Government Funded,Museum,Central Government
Duke of Lancaster's Own Yeomanry Museum,Stanley Street,,,,Preston,Lancashire,PR1 4YP,,,Central Government Funded,Museum,Central Government
"English Heritage, Aldborough Roman Town",High Street,,,,Boroughbridge,Yorkshire,YO5 9ES,England,http://www.welcometoyork.co.uk/aldborough.html,Central Government Funded,Museum,Central Government
"English Heritage, Battle Abbey",,,,,Battle,East Sussex,TN33 0AD,England,,Central Government Funded,Museum,Central Government
"English Heritage, Bishop's Waltham Palace",,,,,Bishops Waltham,Hampshire,SO23 1DH,England,http://www.english-heritage.org.uk/server/show/nav.14218,Central Government Funded,Museum,Central Government
"English Heritage, Boscobel House",Brewood,,,,Bishops Wood,Shropshire,ST19 9AR,England,www.english-heritage.org.uk/bosco,Central Government Funded,Museum,Central Government
"English Heritage, Brodsworth Hall",,,,,Brodsworth,Yorkshire,DN5 7XJ,England,http://www.english-heritage.org.uk/server.php?show=nav.17400,Central Government Funded,Museum,Central Government
"English Heritage, Chesters Roman Fort & Museum",Chollerford,Humshaugh,,,Hexham,Northumberland,NE46 4EP,England,,Central Government Funded,Museum,Central Government
"English Heritage, Chiswick House",Burlington Lane,Hounslow,,,London,,W4 2RP,England,,Central Government Funded,Museum,Central Government
"English Heritage, Corbridge Roman Site Museum",The Roman Site,,,,Corbridge,Northumberland,NE45 5NT,England,,Central Government Funded,Museum,Central Government
"English Heritage, Dover Castle",,,,,Dover,Kent,CT16 1HU,England,http://www.english-heritage.org.uk/server/show/nav.14571,Central Government Funded,Museum,Central Government
"English Heritage, Down House",English Heritage,1 Waterhouse Square,138-142 Holborn,,London,Greater London,EC1N 2ST,,www.english-heritage.org.uk/southeast,Central Government Funded,Museum,Central Government
"English Heritage, Furness Abbey",,,,,Barrow-In-Furness,Cumbria,LA13 0TJ,England,,Central Government Funded,Museum,Central Government
"English Heritage, Housesteads Roman Fort & Museum",Haydon Bridge,,,,Hexham,Northumberland,NE47 6NN,England,,Central Government Funded,Museum,Central Government
"English Heritage, Kenwood House (Iveagh Bequest)",English Heritage,1 Waterhouse Square,138 - 142 Holborn,,London,Greater London,EC1B 2ST,UK,,Central Government Funded,Museum,Central Government
"English Heritage, Marble Hill House",English Heritage,1 Waterhouse Square,138-142 Holborn,,London,Greater London,EC1N 2ST,UK,www.english-heritage.org.uk/london,Central Government Funded,Museum,Central Government
"English Heritage, Osborne House",Osborne House,York Avenue,East Cowes,,Isle of  Wight,Hampshire,PO32 6JY,England,http://www.english-heritage.org.uk/server/show/nav.14479,Central Government Funded,Museum,Central Government
"English Heritage, Pendennis Castle",Castle Drive,,,,Falmouth,Cornwall,TR11 4RE,England,http://www.english-heritage.org.uk/server.php?show=nav.11391,Central Government Funded,Museum,Central Government
"English Heritage, Portchester Castle",Castle Street,,,,Portchester,Hampshire,PO16 9QW,England,http://www.english-heritage.org.uk/server/show/nav.14361,Central Government Funded,Museum,Central Government
"English Heritage, Richmond Castle Museum",Tower Street,,,,Northallerton,Yorkshire,DL10 4QW,England,,Central Government Funded,Museum,Central Government
"English Heritage, Rievaulx Abbey",Rievaulx,,,,Helmsley,Yorkshire,YO62 5LB,England,,Central Government Funded,Museum,Central Government
"English Heritage, Saxtead Mill",The Mill House,Saxtead Green,,,Woodbridge,Suffolk,IP13 9QQ,England,,Central Government Funded,Museum,Central Government
"English Heritage, Wall Roman Site and Museum",Watling Street,,,,nr Lichfield,Staffordshire,WS14 0AW,UK,www.english-heritage.org.uk/server.php?show=conProperty.352,Central Government Funded,Museum,Central Government
"English Heritage, Walmer Castle",Kingsdown Road,,,,Deal,Kent,CT14 7LJ,England,http://www.english-heritage.org.uk/server/show/nav.14948,Central Government Funded,Museum,Central Government
"English Heritage, Wroxeter Roman Site & Museum",Wroxeter Roman Site,,,,Wroxeter,Shropshire,SY5 6PH,England,www.english-heritage.org.uk/wroxeter,Central Government Funded,Museum,Central Government
English Heritage: Eltham Palace,English Heritage,1 Waterhouse Square,138-142 Holborn,,London,Greater London,EC1N 2ST,UK,www.english-heritage.org.uk/elthampalace,Central Government Funded,Museum,Central Government
