Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
Ash Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
Ashby de la Zouch Museum,,,,,,,,,www.ashbydelazouchmuseum.org.uk,Charity & Trusts,Museum,Independent
Barbican House Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
Beeston Castle,,,,,Tarporley,Cheshire,CW6 9TX,England,,Charity & Trusts,Museum,Independent
Berkshire and Westminster Dragoons Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
"Blackwell, The Arts & Crafts House",,,,,Bowness-on-Windermere,Cumbria,LA23 3JR,England,,Charity & Trusts,Museum,Independent
Bluebell Railway Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
Bolton Steam Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
Brantwood,,,,,Coniston,Cumbria,LA21 8AD,England,,Charity & Trusts,Museum,Independent
"Buckland Abbey, National Trust",,,,,Yelverton,Devon,PL20 6EY,England,http://www.nationaltrust.org.uk/main/w-vh/w-visits/w-findaplace/w-bucklandabbey/,Charity & Trusts,Museum,Independent
Calke Abbey,,,,,Ticknall,Derbyshire,DE73 1LE,England,,Charity & Trusts,Museum,Independent
Canons Ashby,,,,,Daventry,Northamptonshire,NN11 3SD,England,,Charity & Trusts,Museum,Independent
Clandon Park,,,,,,,,,,Charity & Trusts,Museum,Independent
Clouds Hill,,,,,Wareham,Dorset,BH20 7NQ,England,www.nationaltrust.org.uk,Charity & Trusts,Museum,Independent
Cowper and Newton Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
Didcot Railway Centre,,,,,Didcot,Oxfordshire,OX11 7NJ,England,,Charity & Trusts,Museum,Independent
Dyrham Park,,,,,Chippenham,Wiltshire,SN14 8ER,England,http://www.nationaltrust.org.uk/main/w-dyrhampark,Charity & Trusts,Museum,Independent
"English Heritage, Brougham Castle",,,,,Penrith,Cumbria,CA10 2AA,England,,Charity & Trusts,Museum,Independent
Felbrigg Hall (Norfolk),,,,,,,,,,Charity & Trusts,Museum,Independent
Garstang Museum of Archaeology,,,,,,,,,,University,Museum,Independent
George Stephenson's Birthplace,,,,,Wylam,Northumberland,NE41 8BP,England,http://www.nationaltrust.org.uk/main/w-georgestephensonsbirthplace,Charity & Trusts,Museum,Independent
Great Chalfield Manor,,,,,Melksham,Wiltshire,SN12 8NJ,England,http://www.nationaltrust.org.uk/main/w-greatchalfieldmanor,Charity & Trusts,Museum,Independent
Grove Rural Life Museum,,,,,,,,,,Charity & Trusts,Museum,Independent
Hampton Court Palace,,,,,East Molesey,Surrey,KT8 9AU,England,,Charity & Trusts,Museum,Independent
Herefordshire Light Infantry Regimental Museum,,Larport Farm,Mordiford,,Hereford,Herefordshire,HR1 4EW,England,,Charity & Trusts,Museum,Independent
